BEGINN_DATUM,BEGINN_UHRZEIT,ZEITZONE_VON,ENDE_DATUM,ENDE_UHRZEIT,ZEITZONE_BIS,GRUND_DER_MASSNAHME,RICHTUNG,MITTLERE_LEISTUNG_MW,MAXIMALE_LEISTUNG_MW,GESAMTE_ARBEIT_MWH,ANWEISENDER_UENB,ANFORDERNDER_UENB,BETROFFENE_ANLAGE,PRIMAERENERGIEART
04.03.2025,05:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,105,163,1573,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H Hamburg Wedel1,Konventionell
04.03.2025,05:00,CET,04.03.2025,23:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,133,230,1600,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H Berlin Mitte,Konventionell
04.03.2025,05:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,83,120,1073,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H Berlin Marzahn,Konventionell
04.03.2025,05:00,CET,04.03.2025,23:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,35,40,419,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H Rostock Marienehe,Konventionell
04.03.2025,05:00,CET,04.03.2025,14:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,269,500,2420,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,Netzreservekraftwerk Bexbach A,Konventionell
04.03.2025,05:15,CET,04.03.2025,09:15,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,100,100,400,TenneT DE,TenneT DE,SHN Cluster Süderdonn T411,Erneuerbar
04.03.2025,05:15,CET,04.03.2025,09:15,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"90,63",100,"362,5",TenneT DE,TenneT DE,SHN Cluster Süderdonn T412 T413,Erneuerbar
04.03.2025,05:15,CET,04.03.2025,09:15,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"181,25",200,725,TenneT DE,TenneT DE,SHN Cluster Klixbüll,Erneuerbar
04.03.2025,05:15,CET,04.03.2025,09:15,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"181,25",200,725,TenneT DE,TenneT DE,SHN Cluster Heide West T411 T412,Erneuerbar
04.03.2025,05:15,CET,04.03.2025,09:15,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"181,25",200,725,TenneT DE,TenneT DE,SHN Cluster Husum Nord,Erneuerbar
04.03.2025,05:15,CET,04.03.2025,09:15,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"90,24",100,"360,98",TenneT DE,TenneT DE,SHN Cluster Heide West T413,Erneuerbar
04.03.2025,05:30,CET,04.03.2025,14:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,261,400,2215,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,Netzreservekraftwerk Weiher C,Konventionell
04.03.2025,05:30,CET,04.03.2025,21:30,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"452,88",929,"5547,75",TenneT DE,TenneT DE,OWP UW Büttel,Erneuerbar
04.03.2025,05:30,CET,04.03.2025,20:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,"244,41",410,"1955,25",TransnetBW,TenneT DE,Vorarlberger Ilwerke,Sonstiges
04.03.2025,05:30,CET,04.03.2025,09:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,"112,86",140,395,TransnetBW,TenneT DE,Reservekraftwerk Altbach/Deizisau Block 1,Konventionell
04.03.2025,06:00,CET,04.03.2025,20:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,17,22,69,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H Halle-Trotha HKW,Konventionell
04.03.2025,06:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,61,109,490,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H Hamburg Tiefstack GuD,Konventionell
04.03.2025,06:00,CET,04.03.2025,14:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,171,171,1368,TenneT DE,TenneT DE,Wilhelmshaven (ENGIE),Konventionell
04.03.2025,06:45,CET,04.03.2025,11:30,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,160,192,762,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,KMW_KW3,Konventionell
04.03.2025,07:00,CET,04.03.2025,11:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,172,328,690,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Lippendorf VE,Konventionell
04.03.2025,07:00,CET,04.03.2025,11:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,205,225,821,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Boxberg (Standort),Konventionell
04.03.2025,07:00,CET,04.03.2025,09:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,21,28,42,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Lippendorf VE,Konventionell
04.03.2025,07:00,CET,04.03.2025,11:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,82,109,329,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H OWP Wikinger,Erneuerbar
04.03.2025,07:00,CET,04.03.2025,08:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,51,51,51,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H UW Bertikow,Erneuerbar
04.03.2025,07:00,CET,04.03.2025,08:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,335,350,335,TenneT DE,TenneT DE,Börse,Sonstiges
04.03.2025,07:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,"154,9",600,"774,5",TransnetBW,50Hertz & Amprion & TenneT DE & TransnetBW,Vorarlberger Ilwerke,Sonstiges
04.03.2025,07:15,CET,04.03.2025,10:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,"54,57",90,"95,5",TenneT DE,TenneT DE,SW München KW-Pool,Sonstiges
04.03.2025,07:45,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,"64,31",88,209,TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,SW München KW-Pool,Sonstiges
04.03.2025,08:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,34,50,170,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H Berlin Mitte,Konventionell
04.03.2025,08:00,CET,04.03.2025,12:30,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,96,220,430,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H PV Witznitz,Erneuerbar
04.03.2025,08:00,CET,04.03.2025,10:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,131,206,262,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Lippendorf EnBW,Konventionell
04.03.2025,08:00,CET,04.03.2025,09:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,94,94,94,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Lippendorf EnBW,Konventionell
04.03.2025,08:00,CET,04.03.2025,10:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,105,160,210,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Lippendorf VE,Konventionell
04.03.2025,08:00,CET,04.03.2025,09:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,49,49,49,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Boxberg (Standort),Konventionell
04.03.2025,08:00,CET,04.03.2025,11:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,132,172,396,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Jänschwalde (Standort),Konventionell
04.03.2025,08:00,CET,04.03.2025,16:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,338,509,1352,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Schwarze Pumpe (Standort),Konventionell
04.03.2025,08:00,CET,04.03.2025,10:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,50,50,100,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Schkopau,Konventionell
04.03.2025,08:00,CET,04.03.2025,11:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,71,138,212,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Jänschwalde (Standort),Konventionell
04.03.2025,08:00,CET,04.03.2025,11:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,188,326,563,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Schwarze Pumpe (Standort),Konventionell
04.03.2025,08:00,CET,04.03.2025,11:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,187,286,560,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Boxberg (Standort),Konventionell
04.03.2025,08:00,CET,04.03.2025,12:30,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,492,810,2215,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,Knapsack 1,Konventionell
04.03.2025,08:00,CET,04.03.2025,22:15,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,231,570,"1443,75",TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,Irsching 5,Konventionell
